id,w212,sex,comb_g,1_116783698,Gg_rs14877932,Gg_rs14885084,1_134165693,Gg_rs13939684,Gg_rs15427022,Gg_rs14891046,Gg_rs14893407,Gg_rs14895423,Gg_rs14084016,Gg_rs15015376,Gg_rs15777012,Gg_rs15749695,chr3_16000000,3_16300000,Gg_rs15282380,3_23988469,Gg_rs14327472,3_27044082,Gg_rs15308709,Gg_rs14334308,Gg_rs16251229,Gg_rs15321001,3_36969573,Gg_rs15326621,Gg_rs14342633,Gg_rs13675715,Gg_rs15337358,Gg_rs16263890,Gg_rs14349767,Gg_rs14355077,Gg_rs15352400,snp-17-141-24973-S-1,Gg_rs15361114,Gg_rs16281414,rbl1045,snp-136-57-976-S-1,Gg_rs15371495,Gg_rs16289999,Gg_rs14368844
34010,920,0,6.5,H,A,A,-,A,A,A,H,B,H,B,B,B,B,B,H,C,B,H,B,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34011,1277,1,32.2,H,H,H,H,B,B,B,B,B,H,B,H,B,-,-,H,C,B,B,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34012,1306,1,33.1,H,A,A,A,A,A,A,A,H,A,H,B,H,H,H,H,C,B,B,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34013,903,0,2.2,H,H,A,-,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,-
34014,1402,1,23.4,A,H,B,B,B,B,B,B,B,A,A,B,A,A,-,H,B,B,B,B,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A
34015,985,0,2.3,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34016,1655,1,29.7,H,H,H,H,H,H,B,B,B,B,B,B,B,-,B,B,B,B,B,A,A,A,A,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34017,1058,0,1.9,A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A
34018,1723,1,42.5,A,H,A,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34019,1206,0,2.5,H,H,H,H,H,H,H,H,H,A,A,B,A,A,A,A,B,B,B,H,H,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34020,1143,1,35.5,A,A,H,H,H,H,H,H,H,B,B,B,B,B,H,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,H,H,H
34021,710,0,2,H,A,A,A,A,A,A,A,A,B,B,A,B,-,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A
34022,1083,1,40.8,H,A,A,A,A,A,A,A,A,B,B,B,B,B,H,H,C,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H
34023,929,0,2.2,B,H,H,H,A,A,A,A,A,B,B,H,B,B,A,A,C,H,H,H,A,A,A,A,A,A,A,B,H,H,A,A,A,A,A,A,A,H,H,H
34024,1223,1,26.4,B,A,A,A,A,A,A,A,A,B,B,H,B,B,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H
34025,805,0,2.2,B,H,H,H,A,A,A,A,A,B,B,H,B,B,A,A,C,H,H,H,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34026,1008,0,2,H,A,B,B,B,B,B,B,B,H,H,A,H,-,B,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A
34028,NA,0,0.2,H,A,B,H,B,B,B,B,B,A,H,A,H,H,B,B,C,H,H,H,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A
34029,1667,1,25.7,H,A,B,B,B,B,B,B,B,H,H,H,H,H,B,H,-,A,A,H,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A
34030,NA,1,NA,H,A,B,H,B,B,B,H,H,H,H,A,H,H,B,H,-,A,A,A,A,A,A,A,A,A,A,H,H,A,H,A,A,A,A,A,A,A,A,A
34031,NA,0,NA,A,A,A,A,A,A,A,B,B,A,A,B,A,A,-,A,-,H,H,H,H,A,A,A,A,A,H,-,H,H,H,H,H,H,H,B,B,B,-,B
34032,NA,1,NA,A,A,A,A,A,A,H,B,B,A,A,B,A,A,A,A,-,H,H,H,H,A,A,A,A,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34033,1114,0,1.2,A,A,A,-,A,A,H,B,B,H,H,B,H,H,H,-,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,A,A
34035,1552,1,18.4,A,A,A,A,A,A,A,B,B,A,A,B,A,-,A,A,-,B,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34036,NA,0,NA,A,A,A,A,H,H,H,-,B,A,A,B,A,-,A,A,C,B,B,H,H,A,A,A,A,A,H,A,H,H,H,H,B,-,B,B,B,B,-,B
34038,1198,0,4.2,A,A,A,A,H,H,H,H,B,A,A,B,A,A,A,A,-,H,H,H,H,H,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,H,H,H
34039,NA,0,NA,A,A,A,-,H,H,A,H,B,A,A,B,A,A,A,A,-,H,H,H,H,A,A,A,A,A,H,A,H,H,A,A,H,H,H,H,H,H,H,H
34040,1116,0,4.7,A,A,A,A,A,A,H,B,B,A,A,B,A,A,A,A,C,B,B,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34041,NA,0,NA,H,H,H,H,H,H,H,H,H,H,H,B,H,H,-,H,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34042,NA,0,NA,H,H,H,B,B,B,B,B,B,H,H,B,H,H,-,A,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34043,1004,0,1.9,H,H,H,-,H,H,H,H,H,A,A,B,A,A,A,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H
34044,907,0,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,A,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34045,950,0,1.4,A,A,H,B,B,B,B,B,B,H,H,B,H,-,H,A,-,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34046,1606,1,29,A,H,A,-,A,A,H,H,H,A,A,B,A,A,A,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34047,NA,0,0.5,H,A,A,A,A,A,H,B,H,H,H,H,H,-,A,H,C,H,H,H,H,B,B,B,B,H,H,-,A,A,H,H,H,A,A,A,A,H,H,H
34048,1268,0,1.1,H,A,A,A,A,A,H,H,H,A,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H
34049,1674,1,29.3,B,A,A,A,A,A,H,B,B,H,B,H,B,B,H,A,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H
34050,1606,1,25.8,H,A,A,A,A,A,H,H,H,H,H,H,H,-,A,H,C,H,H,H,H,H,H,H,H,H,H,-,A,A,A,A,H,A,A,A,A,H,H,H
34052,1748,1,44.8,B,A,A,A,A,A,A,B,B,H,B,H,B,B,H,A,C,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,A,A,A,A,H,H,H
34053,1979,1,39.8,H,A,A,-,A,A,H,H,A,B,B,H,B,B,-,A,C,H,H,H,H,H,H,B,B,B,B,A,A,A,A,H,H,H,H,H,A,A,A,A
34054,1100,0,1.7,A,H,H,H,H,H,H,H,H,A,A,B,A,A,A,-,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34055,749,0,1.9,H,H,B,B,B,B,B,H,H,H,H,H,H,H,B,B,-,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34056,1123,1,16.4,H,A,H,H,H,H,H,B,H,H,H,H,H,H,B,B,-,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34057,NA,0,NA,H,-,H,H,H,H,-,B,B,-,H,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34058,1180,1,36.8,A,A,H,H,H,H,H,H,H,B,B,B,B,B,-,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,H,H,H,H
34059,1177,1,37.5,H,A,A,-,A,A,A,A,A,B,B,H,B,B,B,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B
34060,904,0,3.9,A,A,H,H,H,H,A,A,A,B,B,B,B,B,H,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34061,NA,0,NA,A,A,H,H,H,H,H,H,H,B,B,B,B,B,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34062,759,0,1.7,H,A,A,A,A,A,A,A,A,B,B,H,B,B,B,H,-,A,A,A,A,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A
34063,928,0,9.5,H,A,A,A,A,A,H,H,H,B,B,H,B,-,H,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,B,B,B,B,H,H,H,H
34064,795,0,2.4,H,A,A,-,A,A,A,A,A,B,B,H,B,B,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34065,1064,1,39.7,H,A,A,A,A,A,A,A,A,B,B,H,B,B,H,H,-,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34066,NA,1,NA,A,A,H,H,H,H,H,H,H,H,H,H,B,-,-,H,B,B,B,H,A,B,B,B,B,B,B,-,H,H,A,A,A,A,A,A,A,A,A,A
34067,NA,0,NA,B,B,H,H,H,H,H,H,H,B,B,H,B,B,H,A,C,H,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H
34068,NA,0,0.2,A,A,H,H,H,H,H,H,H,H,H,H,B,B,H,A,C,H,H,H,A,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A
34069,1842,1,40.4,A,A,B,B,B,B,B,B,B,H,H,H,H,H,H,A,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B
34070,1221,0,3.7,A,A,A,A,A,A,H,H,H,A,A,H,H,H,-,-,B,B,B,B,H,H,H,B,B,B,H,H,-,H,H,H,H,H,H,H,H,H,H,H
34073,1233,1,39.2,H,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,B,B,B,A,A,A,H,H,H,H,-,A,A,A,A,A,H,H,H,H,H,A,A
34074,1024,0,5.4,H,H,A,-,A,A,A,A,A,H,H,H,H,H,H,A,C,H,H,H,H,B,B,B,B,B,B,-,H,H,H,A,A,A,A,A,A,A,A,A
34075,1485,1,36.4,A,A,H,H,B,B,H,B,B,B,B,H,B,-,H,H,-,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,-,A,A,A,A,A,A
34076,NA,0,NA,B,B,B,H,H,H,H,H,H,B,B,H,B,B,H,A,B,B,B,B,H,B,B,B,B,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A
34077,1150,0,6,H,H,B,A,H,H,H,H,H,B,B,H,B,B,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A
34079,1462,1,30.4,B,B,B,H,H,H,H,B,B,H,H,H,H,-,H,A,C,H,H,H,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34080,1496,1,35.3,H,H,H,B,B,B,B,B,B,B,B,H,B,B,H,A,C,H,H,H,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34081,1160,0,3.2,A,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34082,1166,0,2.6,B,A,A,A,A,A,H,H,H,B,B,H,B,B,A,A,C,H,H,A,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,H,H,H
34083,1164,0,1.6,B,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,C,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,H,H,H
34084,1772,1,31.3,B,A,A,A,A,A,A,H,H,H,H,H,H,H,A,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H
34085,1293,1,19.4,A,H,A,A,A,A,A,A,A,H,H,B,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34087,1118,0,2.9,A,H,A,A,A,A,H,H,H,H,H,B,H,H,H,A,C,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A
34090,1020,0,2.1,H,H,B,B,B,B,H,A,A,H,H,H,H,H,A,H,-,A,A,A,A,H,H,B,B,B,H,H,H,H,H,H,B,H,H,H,B,H,H,H
34091,798,0,1.7,A,A,H,H,H,H,H,A,A,H,H,H,H,H,B,H,-,A,A,A,A,H,H,B,B,B,H,H,H,H,H,H,H,A,A,A,H,A,A,A
34092,NA,1,NA,B,B,A,A,A,A,A,A,H,A,A,H,A,A,-,A,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34094,1157,0,3.5,H,H,A,A,B,B,B,B,B,H,H,B,H,H,H,A,-,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34095,NA,0,NA,B,H,B,B,B,B,B,H,H,H,B,H,B,B,B,B,-,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34096,932,0,2.5,H,H,B,B,B,B,B,H,H,H,H,B,H,H,-,B,-,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34097,NA,1,NA,B,H,H,H,H,H,H,B,B,H,H,B,H,H,B,B,-,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A
34098,NA,1,NA,B,-,B,B,B,B,B,H,H,H,B,B,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34099,NA,0,NA,B,B,B,H,H,H,H,B,B,H,B,H,B,B,B,B,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34103,1238,1,25.1,H,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,C,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,A,A,A,A,A
34105,NA,0,NA,H,B,H,H,H,H,H,H,A,H,H,H,H,H,H,A,-,A,A,A,A,H,H,H,H,H,H,A,A,A,A,A,H,H,H,A,A,H,H,H
34106,1263,1,22.9,A,H,H,H,H,H,H,H,H,H,H,H,H,H,-,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,A,A,A,A,A
34107,1225,1,28,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,H
34108,NA,0,NA,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,B,B,B,B,H,H,H,H
34109,1161,1,23.3,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H
34110,1278,1,19.4,A,H,H,H,H,H,H,H,H,H,H,H,H,-,H,A,-,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,B,B,B,H,H,H,H,H
34111,774,0,0.9,A,A,B,B,B,B,B,H,A,H,H,H,H,H,B,A,C,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,B,H,H,H,B,H,H,H
34112,1204,1,13,H,H,H,H,H,H,H,A,A,H,H,B,H,H,B,H,-,A,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,A,H,A,A,A
34114,1399,1,18.4,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,A,-,A,A,A,A,H,H,B,B,B,H,H,H,H,H,H,B,H,H,H,B,H,H,H
34115,1004,0,5.2,H,H,A,A,A,A,A,A,H,H,B,H,B,B,-,-,C,B,B,B,H,H,H,H,H,H,H,-,A,A,A,A,H,H,H,H,H,H,H,H
34116,1056,0,3.1,H,H,H,H,B,B,H,H,B,A,H,H,H,H,H,A,C,H,H,B,H,H,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,H,H,H
34117,NA,0,NA,H,-,A,A,H,H,H,H,H,H,B,B,B,B,B,H,C,B,H,B,H,H,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34118,NA,1,NA,H,H,H,A,A,A,A,A,H,H,B,H,B,B,B,H,C,B,B,H,H,H,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H
34120,838,0,1.8,B,H,H,H,A,A,A,A,A,B,B,H,B,-,A,A,B,B,B,H,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,H,H,H
34121,1106,0,6.3,B,H,H,-,A,A,A,A,A,B,B,H,B,B,A,A,B,B,B,H,A,A,A,A,A,A,H,H,A,A,A,A,A,H,H,H,H,H,H,H
34122,1186,1,33.6,H,A,H,H,A,A,A,A,A,B,B,H,B,B,A,A,B,B,B,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B
34124,688,0,1.2,B,H,H,H,A,A,A,A,A,B,B,H,B,B,A,A,B,H,H,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A
34125,1245,1,30.6,H,A,A,A,A,A,A,A,A,B,B,H,B,B,A,A,B,B,B,H,A,A,A,A,A,A,H,B,H,H,H,H,H,H,H,H,H,B,H,H
34126,817,0,2.1,B,H,A,A,A,A,A,A,A,B,B,H,B,B,A,A,C,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B
34127,NA,0,NA,B,H,A,A,A,A,H,H,H,A,A,H,A,A,A,H,-,A,A,B,B,H,H,H,H,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34128,1431,1,28.9,H,A,A,-,A,A,H,H,H,A,A,H,A,A,A,H,-,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A
34130,884,0,1,H,A,A,A,A,A,A,A,A,B,B,H,B,B,H,H,-,A,A,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,A,A,A
34131,1145,0,1.5,H,H,A,A,A,A,A,A,A,H,H,H,-,H,A,-,-,A,A,H,H,A,A,A,A,A,H,-,H,A,A,A,A,A,A,A,A,A,A,A
34132,NA,0,NA,H,A,A,A,A,A,H,H,H,B,B,A,B,B,-,H,-,A,A,A,A,A,A,A,A,H,H,-,A,A,A,A,A,A,A,A,A,A,A,A
34133,1154,0,1.3,B,H,A,A,A,A,H,H,H,A,A,A,A,H,A,H,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34134,1455,1,14.7,H,A,B,B,B,B,B,B,B,H,H,A,H,H,B,H,C,H,H,H,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A
34136,1089,0,1.1,H,H,B,B,B,-,B,B,B,H,H,H,H,H,A,-,-,A,A,A,A,H,H,H,H,-,H,H,H,H,H,A,A,A,A,A,A,A,A,A
34137,NA,0,NA,H,A,B,H,B,B,B,B,B,A,H,H,H,H,B,B,C,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A
34140,1613,1,19.8,A,A,A,-,A,A,H,H,H,A,A,H,A,A,H,H,-,A,A,H,H,A,A,A,A,A,-,A,A,A,A,A,A,-,A,A,A,A,A,A
34141,1076,0,1.2,H,A,A,-,H,H,B,B,B,A,A,A,A,A,H,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34143,1475,1,18.3,A,A,A,A,A,A,H,B,B,A,A,A,A,A,H,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,B,B,B,B,B,B,B
34146,1579,1,18.4,A,A,A,A,A,A,A,A,H,A,A,H,A,A,-,H,C,H,H,B,B,A,A,A,A,A,H,H,H,H,H,A,A,H,H,H,H,H,H,H
34147,993,0,1.5,H,A,A,A,A,A,A,A,H,A,A,A,A,A,H,H,C,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34148,NA,1,NA,H,H,H,H,H,H,H,H,H,A,A,B,A,-,-,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
34150,1242,1,25.2,H,H,A,-,A,A,A,A,A,H,H,B,-,H,H,-,-,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A
34151,1551,1,16.9,H,B,H,H,H,H,H,H,A,H,H,H,H,-,-,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,B,B,B,B,H,A,A,A
34152,1776,1,29.7,H,H,H,B,B,B,B,B,B,A,H,A,H,-,H,-,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34153,1411,1,12.6,H,H,H,B,B,B,B,H,B,A,A,H,A,A,H,H,B,B,B,H,H,H,H,H,H,H,H,-,A,A,A,A,A,-,A,A,A,A,A,A
34154,1790,1,30.6,H,H,H,B,B,B,B,B,B,H,H,H,H,H,B,H,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34155,1937,1,30.2,H,H,H,H,B,B,B,H,B,A,H,A,H,H,-,H,C,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34156,1644,1,30.9,H,H,H,H,H,H,B,B,B,A,H,H,H,-,H,H,B,B,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H
34157,1444,1,13,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,-
34158,1613,1,29.6,A,A,B,B,B,B,B,H,H,B,B,H,B,-,H,H,B,B,B,B,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34161,1045,0,0.9,B,B,H,B,B,H,H,H,H,H,H,H,H,H,A,A,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34162,1327,1,28.1,A,A,A,H,H,H,H,H,H,B,B,B,B,B,H,H,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34163,NA,0,NA,H,H,A,H,H,H,H,H,H,A,A,B,A,A,A,A,C,H,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34164,1516,1,24.6,B,B,H,H,H,H,H,A,A,H,H,H,H,H,H,H,C,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34166,1021,0,0.5,A,A,H,B,B,B,B,H,H,A,A,H,A,A,A,A,C,H,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34167,1712,1,25.7,H,H,H,H,H,H,B,H,B,A,A,H,A,A,-,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34168,1449,1,29.1,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34169,1250,1,18.6,H,H,H,H,H,H,H,H,H,H,H,B,H,H,A,A,C,H,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
34170,1011,0,1.7,A,H,H,H,H,H,H,H,A,A,A,B,A,-,-,A,C,H,B,B,B,H,H,H,H,H,H,A,A,A,H,H,B,B,B,B,H,H,H,H
34171,1396,1,19.8,H,B,B,B,B,B,B,B,H,A,A,B,A,A,B,A,C,H,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
